date,optionType,ticker,callPut,T,K,stockPrice,
2021-01-04,asian,AAPL  ,call,0.5,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,0.5,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,0.5,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,1.0,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,2.0,190.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,60.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,129.00,129.4100,
2021-01-04,asian,AAPL  ,call,3.0,190.00,129.4100,
2021-01-05,asian,AAPL  ,call,0.5,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,0.5,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,0.5,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,1.0,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,2.0,190.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,60.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,131.00,131.0100,
2021-01-05,asian,AAPL  ,call,3.0,190.00,131.0100,
2021-01-06,asian,AAPL  ,call,0.5,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,0.5,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,0.5,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,1.0,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,2.0,180.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,60.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,126.00,126.6000,
2021-01-06,asian,AAPL  ,call,3.0,180.00,126.6000,
2021-01-07,asian,AAPL  ,call,0.5,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,0.5,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,0.5,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,1.0,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,2.0,190.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,60.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,130.00,130.9200,
2021-01-07,asian,AAPL  ,call,3.0,190.00,130.9200,
